name,image,batting_style,bowling_style,playing_role,description
Ashutosh Rambabu Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380694.1.png",Right hand Bat,,Batting Allrounder,
Shashank Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380696.1.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,"Shashank Singh, a right-hand batter and right-arm offspinner, shot into the limelight after hitting an unbeaten 29-ball 61 for Punjab Kings against Gujarat Titans in IPL 2024. A journeyman, Shashank had previously been with Sunrisers Hyderabad (2022), Rajasthan Royals (2019-21) and Delhi Daredevils (2017), before finding his most recent home, at Punjab. Having grown up playing Mumbai's famed Kanga League where he had the reputation of being a six-hitter, Shashank's unorthodox technique found him few admirers as he struggled to break into the domestic set-up."
Shivam Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381366.3.png",Right hand Bat,Right arm Offbreak,Allrounder,
Sikandar Raza Butt,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392200/392219.2.png",Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it. Born in Sialkot in the northeast of Pakistan, Sikandar had told his parents when he was 11 years old that he wanted to be a fighter pilot. He wrote the exam that got him into Air Force college. He was one of 60 to have won a place among 60,000 applicants. But in his third year, he failed an eye test. He was told that 7 out of 10 people have the problem in normal life, but for him a dream was shattered."
Atharva Taide,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358044.1.png",Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Samuel Matthew Curran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383153.1.png",Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit."
Liam Stephen Livingstone,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383152.1.png",Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way. Livingstone first attracted attention when he creamed 350 in 138 balls for club side Nantwich in 2015 - one of the largest individual scores in any officially sanctioned limited-overs game. He won a trophy that season when Lancashire took the NatWest Blast title, though he himself didn't do much of note (and needed stitches after he was attacked in a bar earlier during in the competition)."
Christopher Roger Woakes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316603.1.png",Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men. But fate offered another chance. A knee injury to Ben Stokes saw Woakes recalled to the squad to play Sri Lanka at Chester-le-Street. On the same day he claimed career-best figures of 9 for 36 against Durham - ""It was like facing 90mph legbreaks,"" Paul Collingwood said - and, with Alastair Cook insisting Woakes' batting gave him the edge (both Paul Farbrace and Trevor Bayliss wanted Jake Ball to play), he made it back into the XI."
Arshdeep Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390798.5.png",Left hand Bat,Left arm Medium fast,Bowler,"Arshdeep Singh player profile Arshdeep is one of only three Indian bowlers, after Jhulan Goswami and Ajit Agarkar, to start his T20I career with a maiden over. A death-overs specialist known for his accurate yorkers and 140kph-plus deliveries, he made his international debut in England in 2022. That debut, though, was several years in the making. Arshdeep was part of the 2018 title-winning Under-19 World Cup squad, and his three wickets in two matches at an economy of 2 were the beginning of a golden year for him. He made his List A debut for Punjab, got picked up by Punjab Kings in the IPL auction, and took an eight-for in an U-23 match against Rajasthan."
Rahul Desraj Chahar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331166.1.png",Right hand Bat,Legbreak Googly,Bowler,"Legspinner Rahul Chahar was a key member of Mumbai Indians' two IPL title-winning sides at the end of the 2010s. He took 28 wickets in the wins in 2019 and 2020, playing nearly all the team's games. The year after, fresh off two T20Is against England, when Mumbai had a middling season, he did just as well, taking 13 wickets and finishing as their second most prolific wicket-taker. Like many leggies who make an impact in T20, Chahar is not a big turner of the ball, but has good loop and drift, and makes subtle use of his variations in length and pace."
Nathan Ellis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329711.2.png",Right hand Bat,Right arm Fast medium,Bowler,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace. In 2019 he was a club cricketer who had moved to Tasmania from New South Wales in search of opportunity and worked a variety of jobs including a landscape gardener, a labourer and a teacher's aide."
Harpreet Brar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381368.1.png",Left hand Bat,Slow Left arm Orthodox,Bowler,
Vidwath Kaverappa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381371.3.png",Right hand Bat,Right arm Fast medium,Bowler,
Harshal Vikram Patel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381372.1.png",Right hand Bat,Right arm Medium,Bowler,"Harshal Patel IPL factfile - After a slow start to his IPL career, Harshal Patel rose to prominence in 2021 when he equalled the record for most wickets in a season (32). - He is best known for his slower balls, particularly one that dips on the batter. - He has played for Royal Challengers Bengaluru with great success but now plays for , who bought him for INR 11.75 crore in the December 2023 auction."
Tanay Thyagarajan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381375.1.png",Left hand Bat,Slow Left arm Orthodox,Bowler,
Kagiso Rabada,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320376.1.png",Left hand Bat,Right arm Fast,Bowler,"Kagiso Rabada player profile A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. Rabada thrust himself into the international spotlight at the 2014 Under-19 World Cup, where he took 6 for 25 against Australia in the semi-final. South Africa went on to win the title - their first - and Rabada finished as their highest wicket-taker."
Prince Choudhary,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381376.1.png",Right hand Bat,Legbreak,,
Vishwanath Pratap Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381379.1.png",Right hand Bat,Right arm Offbreak,,
Sanju Viswanath Samson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322700/322701.1.png",Right hand Bat,,Wicketkeeper Batter,"Sanju Samson player profile Sanju Samson was perhaps the first top-drawer Indian player to be known primarily for his feats for his IPL franchise than for the national side. A Rajasthan Royals mainstay, he has made over 3000 runs for them in the course of his first eight seasons. Samson moved to Thiruvananthapuram in Kerala in his early teens after taking his first cricket lessons in Delhi, where his father worked as a police constable. In Kerala, he created waves on the junior circuit with his batting, showing impressive technique and an ability to time the ball crisply. He made it to the India side for the Under-19 Asia Cup in 2011 but did not impress in the tournament, and missed out on selection for India's U-19 World Cup side the following year."
Joseph Charles Buttler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383143.1.png",Right hand Bat,,Wicketkeeper Batter,"Jos Buttler player profile England have had many players down the ages who have gained world acclaim, but Jos Buttler is arguably their first global Twenty20 superstar. Buttler helped bring England's limited-overs batting into the 21st century, his impact on the one-day and T20 sides extraordinary as they turned a group-stage exit in the 2015 World Cup into a triumph on home soil four years later, with his efforts with the bat and the gloves crucial to their Super-Over victory in the final. In an 18-month period from mid-2014, he scored what at the time were England's three fastest one-day hundreds - thrilling innings against Sri Lanka at Lord's, New Zealand at Edgbaston and, topping the list, a 46-ball onslaught against Pakistan in Dubai. He has also shone at the IPL, and quickly became a senior player in the Test side since his surprise recall in 2018."
Shubham Badriprasad Dubey,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg,Left hand Bat,Right arm Offbreak,Middle order Batter,
Shimron Odilon Hetmyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320116.1.png",Left hand Bat,,Middle order Batter,"Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. He started out leading West Indies to their first Under-19 World Cup title, in 2015-16, and then made his name as a lower-middle-order bruiser in T20 cricket. In the early 2020s in the IPL, his ability to go from zero to 60 in no time paid dividends for Delhi Capitals and Rajasthan Royals. In the same vein, Hetmyer made a hundred at two runs a ball in 2018 against Jamaica Tallawahs for Guyana Amazon Warriors in the CPL. That same season, in ODI cricket, where he largely slots in as a hard-hitting No. 5 for West Indies, he made two hundreds in three games, against Bangladesh at home and India away."
Yashasvi Bhupendra Kumar Jaiswal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340309.1.png",Left hand Bat,Legbreak,Opening Batter,"Yashasvi Jaiswal player profile From his Under-19 days, Yashasvi Jaiswal has come to embody fearlessness and a robust batting approach, to which he has also managed to add consistency, as his record in the IPL and in domestic cricket for Mumbai in the early 2020s shows. At 12, Jaiswal moved from rural Uttar Pradesh to Mumbai for cricket. He slept in tents and sold pani puri to earn pocket money. When Jwala Singh, a local coach, took him under his wing two years later, after watching him at Azad Maidan, Jaiswal's career began to take off."
Dhruv Chand Jurel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340310.1.png",Right hand Bat,,Wicketkeeper Batter,"Dhruv Jurel player profile Son of a Kargil war veteran, Dhruv Jurel too wanted to join the army before falling in love with cricket. His father was against him playing the sport, so Jurel kept it a secret from him. One day, his father was reading the newspaper and told him, ""There is a cricketer by the same name as you, and he has scored these many runs."" Scared, Jurel did not say anything."
Tom Kohler-Cadmore,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/325900/325917.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Tom Kohler-Cadmore had made a name for himself as a Wisden Schoolboy Cricketer of the Year and one of the most-talented young batsmen in the county game - but it was a court case involving a former team-mate that brought him unwanted attention from a wider audience. Revelations during the trial of Alex Hepburn about sexist messages exchanged on a WhatsApp group led to Kohler-Cadmore and Joe Clarke being stood down from Lions duty and threatened to overshadow the start of a promising career. Kohler-Cadmore and Clarke, who both played alongside Hepburn at Worcestershire, were fined and banned for bringing the game into disrepute. But Kohler-Cadmore bounced back quickly, scoring 1729 runs across all formats in the 2019 county season - more than any of his Yorkshire team-mates - and winning a reprieve with the Lions for the winter tour of Australia. In May, with the English summer on hold due to Covid-19, he was named in England's 55-man return-to-training group as part of ECB plans to salvage as much of the international calendar as possible."
Riyan Parag,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/370900/370935.1.png",Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,"Riyan Parag IPL factfile - An Under-19 World Cup winner in 2018, Riyan Parag earned his first IPL gig when Rajasthan Royals signed him ahead of the 2019 season for INR 20 lakh. - That season, he became the youngest IPL half-centurion at 17 years and 175 days when he hit a 49-ball 50 against Delhi Capitals."
Rovman Powell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322172.1.png",Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. Powell's maiden ODI hundred, against Ireland in 2018, helped West Indies to a crucial win in the World Cup qualifier, and he captained a weakened side in Bangladesh later that year, but was left out of the squad for the World Cup itself, in 2019."
Kunal Singh Rathore,,Left hand Bat,,Wicketkeeper Batter,
Abid Mushtaq Mangnoo,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Ravichandran Ashwin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393300/393315.2.png",Right hand Bat,Right arm Offbreak,Bowling Allrounder,"R Ashwin player profile R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century. All through his career Ashwin has been a cricket nerd with a deep appreciation of the nuances of the game and an acute knowledge of his craft. And it was that sharp brain, along with the carrom ball, an equally good arm ball, and masterly control over his offbreaks that made him a quintessential limited-overs spinner early in his career. It was in Test cricket, though, that he became a force after he brought the full scope of his talents to bear on it."
Donovan Ferreira,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391700/391782.2.png",Right hand Bat,Right arm Offbreak,Allrounder,
Tanush Karunakar Kotian,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390300/390330.2.png",Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Avesh Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322244.1.png",Right hand Bat,Right arm Fast medium,Bowler,"A tall right-arm quick with a high arm action, Avesh Khan made his name through two Under-19 World Cups and graduated to the senior level after impressing with his variations, seam movement, and slower deliveries. Avesh made his first-class debut for Madhya Pradesh (MP) a week before he turned 18, after being groomed by former India player Amay Khurasiya, his childhood coach. Khurasiya had spotted a 13-year-old Avesh at a Madhya Pradesh Cricket Association trial and, a few years later, the quick was opening the bowling for India Under-19s. His rise to the senior level continued when he got his first IPL deal in 2017, with RCB, and he topped the wicket-taking charts for MP in the 2018-19 Ranji Trophy with 35 wickets at 16.37, which included a seven-for against Hyderabad. It earned him an India A call-up in early 2019 and for the Duleep Trophy later in the year."
Trent Alexander Boult,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png",Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions. Born in the Bay of Plenty region in New Zealand's North Island, Boult is, in the words of his brother Jono, a ""normal sort of Kiwi young guy… into his golf and fishing and surfing."" Cricket, though, was his calling. He lived in a neighbourhood which included eventual New Zealand team-mates Kane Williamson and Doug Bracewell, and had the backing of a supportive household that also kept him grounded. Signs of his skill were evident even as a teenager. As a 17-year-old, he was named the fastest secondary school bowler in the country. A year later, he was representing New Zealand at the Under-19 World Cup."
Nandre Burger,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388400/388421.5.png",Left hand Bat,Left arm Fast medium,Bowler,"An accidental cricketer, who had ambitions of playing on the ATP tour and then becoming a psychologist, Nandre Burger is an all-format left-arm quick, who swings the ball at pace. Burger was raised on Johannesburg's West Rand and attended Monument High School, known for its regular production of international rugby players. While he dabbled in rugby, racquet sports were his passion and he was among the top provincial age-group players in tennis and squash but a persistent back injury forced him to give them both up. He concentrated on cricket and used it to earn a scholarship to the University of Witwatersrand, where his priority was his studies. Burger was a net bowler for the province's franchise team, the Lions, and made his debut in the 2015-16 season, for the amateur team. Two summers later, he was the leading wicket-taker in the Africa T20 Cup and then offered a contract at Western Province, which saw him abandon his degree in Johannesburg for the life of a sporting professional in Cape Town."
Yuzvendra Singh Chahal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319955.1.png",Right hand Bat,Legbreak Googly,Bowler,"Yuzvendra Chahal player profile Yuzvendra Chahal is an attacking legspinner who first attracted attention when he took 34 wickets in the National Under-19 Cooch Behar Trophy in 2009, ending the tournament as its leading wicket-taker. A former chess player who represented India at junior levels, Chahal made his first-class debut for Haryana the same year and was signed by Mumbai Indians in 2011 to be part of their IPL squad."
Keshav Athmanand Maharaj,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322072.1.png",Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer. In his youth, Maharaj was a pace bowler, whose father played for Natal B during segregation years. He turned to spin on a whim in the nets one afternoon at school. He found that it worked and stuck to it. Maharaj's secret was his accuracy. At the Dolphins, he was able to combine that with an ability to take wickets at key moments."
Navdeep Amarjeet Saini,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322700/322702.1.png",Right hand Bat,Right arm Fast,Bowler,
Sandeep Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323055.1.png",Right hand Bat,Right arm Medium,Bowler,"A right-arm medium pacer in the Praveen Kumar mould, Sandeep Sharma is an accurate bowler, capable of swinging the ball and sending down economical spells. Sandeep, who began as a batsman for his school in Patiala before his coach persuaded him to take up bowling seriously, was part of India's Under-19 squad for the 2010 World Cup in New Zealand. He came into his own in the same event two years later, in Australia, where he took four wickets in the final, against the hosts, and finished as the joint-highest wicket-taker for India (12). As a result, Sandeep was signed by Kings XI Punjab ahead of the 2013 season. In three seasons for his franchise, Sandeep not only took 39 wickets, but was regularly employed by his captain George Bailey to bowl the death overs. Sandeep was soon drafted into India's T20 side for the two-match series against Zimbabwe in 2015, where he failed to deliver. In 2014, however, Sandeep suffered a stress fracture of the back that kept him out of competitive cricket for five months. He returned strongly to claim 28 scalps in the 2014-15 Ranji Trophy, the most for his side."
Kuldeep Rampal Sen,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378133.1.png",Right hand Bat,Right arm Fast,Bowler,"A first-class debut in late 2018, an IPL debut in 2022 and an India cap in December 2022. A fast bowler from Madhya Pradesh, Kuldeep Sen was fast-tracked through the domestic circuit and IPL into the India set-up for his ability to crank the pace above 140kmph and pick wickets regularly. His career, though has been hit by injuries. Sen made his IPL debut after he had featured in less than 40 games across formats in the domestic system. He picked up seven wickets in his third Ranji Trophy game and another six in the next, to end the 2018-19 season with 24 scalps from eight games. With his consistency and accuracy, he was picked for India A in the 50-over format in 2022 where he also emerged as MP's highest wicket-taker in the Vijay Hazare Trophy while also featuring for Rest of India in the Irani Cup the same year. He picked up eight wickets in that match while opening the bowling."
Muralikrishna Prasidh Krishna,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389549.5.png",Right hand Bat,Right arm Fast medium,Bowler,"What makes Prasidh Krishna different from other Indian fast bowlers is his ability to extract bounce from short of good length. He always had accuracy, and when he increased his pace, he became even more effective. On his ODI debut against England in Pune in 2021, he picked up 4 for 54, the best figures by a debutant for India at the time. He was on the path to becoming India's enforcer in the middle overs, but a spate of injuries thwarted his career. Prasidh made his first-class debut at the age of 19, in a tour match against Bangladesh A in Mysore in 2015. He picked up a wicket with his very first ball in the match, and five in the innings, but Karnataka's settled pace attack meant he had to wait for three years for his next opportunity in the format."
Adam Zampa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321549.1.png",Right hand Bat,Legbreak Googly,Bowler,"Adam Zampa has developed into Australia's leading white-ball spinner, and only behind Shane Warne to have done the role in the limited-overs formats. An energetic and competitive legspinner, Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. He has subtle changes of pace and variations, including a wrong'un (a classic of which dismissed Kane Williamson at the SCG just days before the Covid lockdowns) and straight ball making up for a lack of prodigious turn. He's a colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
Francois du Plessis,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Right hand Bat,Legbreak,Middle order Batter,"Faf du Plessis player profile Classy, composed and a fine crafter of innings', Faf du Plessis emerged as one of South Africa's most consistent batsmen in the post-Jacques Kallis era. Du Plessis is strong on the front foot, has impeccable defences and enjoys spending time at the crease. A natural leader, du Plessis was put in charge of the T20 side in February 2013 and formed part of the senior core in other formats."
Anuj Rawat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359757.1.png",Left hand Bat,,Wicketkeeper Batter,
Saurav Dilipsingh Chauhan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380688.1.png",Left hand Bat,Right arm Offbreak,Top order Batter,
Krishnakumar Dinesh Karthik,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319934.2.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances."
Virat Kohli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.3.png",Right hand Bat,Right arm Medium,Top order Batter,"Virat Kohli player profile India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them."
Rajat Manohar Patidar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390500/390563.2.png",Right hand Bat,Right arm Offbreak,Top order Batter,"Rajat Patidar player profile Rajat Patidar grabbed attention when he scored an unbeaten 112 off 54 balls for Royal Challengers Bengaluru against Lucknow Super Giants in the IPL 2022 eliminator. Having joined as a replacement player, he finished the season as RCB's third-highest run-scorer, with a tally of 333 at a strike rate of 152.75. Patidar had started his first-class career in 2015-16. Playing for Madhya Pradesh, he scored a hundred on debut and another in the next match. But his most important century in the format came against Mumbai in the final of the 2022 Ranji Trophy. It helped Madhya Pradesh clinch the title after a gap of 69 years."
Manoj Shivaramsa Bhandage,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359766.1.png",Left hand Bat,Right arm Medium fast,Allrounder,
Thomas Kevin Curran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323112.1.png",Right hand Bat,Right arm Fast medium,Allrounder,"Tom Curran is a slick fast bowler with a deadly yorker, whose impressive performances as a youngster for Surrey quickly saw him earn international recognition as he debuted for England in all three formats as a 22-year-old. After playing a handful of white-ball games during the 2017 home summer, he was brought into England's squad for the 2017-18 Ashes after an injury to Steve Finn, and performed creditably despite an eventual lack of wickets. His white-ball form continued, as he starred in an ODI in Perth immediately after those Tests, taking 5 for 35 to close out a narrow win, and he earned an IPL deal with Kolkata Knight Riders for 2018."
Cameron Donald Green,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321569.2.png",Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability."
William George Jacks,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383155.1.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,"It was a quirk of circumstance that Will Jacks' first standout performance as an England player was a six-wicket haul in a Test match rather than a characteristically dominant white-ball innings. Jacks became the first England debutant spinner since 1993 to claim a five-for on Test debut in 2022, setting up a famous win in Rawalpindi. Not only was it his maiden first-class five-for, he was not even meant to be in the side: he was a late change to the side before the toss with Ben Foakes ruled out through illness. But though his offspin is more than serviceable, Jacks is primarily a powerful top-order batter who has long been tipped for the top. He shot to mainstream attention on Surrey's pre-season tour in 2019, when he hit a 25-ball hundred in a T10 friendly against Lancashire in Dubai, by which stage he had graduated from a spell with England's Under-19s which included a century against India in a Youth Test and the vice-captaincy at the 2018 World Cup."
Mahipal Krishan Lomror,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393200/393298.2.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born and brought up in Rajasthan, Mahipal Lomror started as a specialist batsman and later turned into an allrounder, who could bowl left-arm spin. Lomror is an aggressive batsman who fearlessly goes for the big shots, much like how his role model Adam Gilchrist used to. Lomror was picked as an allrounder for the Under-19 World Cup in 2016 and impressed in only his second match, against New Zealand, with a quick 45 in the lower order and a five-for to follow."
Glenn James Maxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389563.5.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click."
